country_code,Country,Broadband_Speed_Rank,Broadband_Mbps,Mobile_Speed_Rank,Mobile_Mbps,Year
MCO,Monaco,1,192.68,,,2022
SGP,Singapore,2,192.01,19,64.92,2022
CHL,Chile,3,189.36,109,15.5,2022
THA,Thailand,4,184.03,56,32.38,2022
HKG,Hong Kong,5,173.42,38,45.86,2022
DNK,Denmark,6,163.6,8,87.11,2022
MAC,Macao,7,156.73,35,47.56,2022
CHN,China,8,155.79,9,85.83,2022
USA,United States,9,143.76,21,62.47,2022
ESP,Spain,10,134.19,49,35.59,2022
ROU,Romania,11,127.07,52,33.8,2022
LIE,Liechtenstein,12,118.19,,,2022
NZL,New Zealand,13,113.14,34,49.32,2022
JPN,Japan,14,112.9,42,42.9,2022
ARE,United Arab Emirates,15,111.79,1,135.62,2022
CHE,Switzerland,16,110.3,15,76.53,2022
NOR,Norway,17,105.61,2,118.44,2022
NLD,Netherlands,18,102.6,5,107.24,2022
SWE,Sweden,19,102.08,23,60.3,2022
HUN,Hungary,20,100.65,44,39.96,2022
CAN,Canada,21,100.06,16,76.32,2022
PRT,Portugal,22,99.62,11,80.05,2022
KOR,"Korea, Republic of",23,99.59,4,109.14,2022
KWT,Kuwait,24,96.93,10,81.33,2022
TWN,Taiwan,25,96.82,28,54.03,2022
PAN,Panama,26,94.51,100,16.71,2022
FRA,France,27,94.34,24,56.45,2022
AND,Andorra,28,92.42,,,2022
MDA,Moldova,29,92.4,53,33.78,2022
LUX,Luxembourg,30,92.1,12,76.82,2022
MLT,Malta,31,90.36,36,47.08,2022
FIN,Finland,32,89.6,20,64.78,2022
ISR,Israel,33,87.98,75,23.74,2022
BRA,Brazil,34,87.52,74,23.84,2022
POL,Poland,35,86.2,46,37.35,2022
URY,Uruguay,36,85.61,57,32.28,2022
MYS,Malaysia,37,84.18,65,26.91,2022
BEL,Belgium,38,81.1,29,52.32,2022
LTU,Lithuania,39,79.81,41,44.11,2022
TTO,Trinidad and Tobago,40,79.35,63,28.31,2022
SAU,Saudi Arabia,41,79.32,6,94.25,2022
LCA,Saint Lucia,42,73.7,,,2022
QAT,Qatar,43,72.22,3,109.86,2022
DEU,Germany,44,69.52,30,52.3,2022
BRB,Barbados,45,68.83,,,2022
SMR,San Marino,46,68.29,,,2022
VNM,Vietnam,47,67.5,45,39.01,2022
IRL,Ireland,48,66.39,71,26.06,2022
LVA,Latvia,49,64.93,51,34.67,2022
RUS,Russia,50,63.76,89,19.18,2022
SVN,Slovenia,51,63.63,31,51.33,2022
GBR,United Kingdom,52,61.69,33,49.41,2022
COL,Colombia,53,59.97,118,12.98,2022
VCT,Saint Vincent and the Grenadines,54,58.26,,,2022
BGR,Bulgaria,55,55.9,7,87.82,2022
PRY,Paraguay,56,54.58,106,15.97,2022
UKR,Ukraine,57,52.5,62,29.06,2022
EST,Estonia,58,52.3,27,54.57,2022
AUT,Austria,59,51.62,26,54.69,2022
DMA,Dominica,60,50.96,,,2022
AUS,Australia,61,50.89,18,68.35,2022
MNE,Montenegro,62,50.81,67,26.5,2022
CRI,Costa Rica,63,50.79,95,17.49,2022
GRD,Grenada,64,50.66,,,2022
JOR,Jordan,65,50.18,98,16.95,2022
ITA,Italy,66,49.8,50,35.11,2022
PHL,Philippines,67,49.52,92,17.95,2022
SRB,Serbia,68,48.97,43,41.06,2022
CZE,Czechia,69,47.68,40,44.72,2022
BHR,Bahrain,70,47.38,39,44.89,2022
SVK,Slovakia,71,47.34,59,31.9,2022
IND,India,72,47.08,116,13.49,2022
MNG,Mongolia,73,46.81,108,15.6,2022
BLR,Belarus,74,45.67,126,11.19,2022
XKX,Kosovo,75,45.28,64,26.91,2022
KGZ,Kyrgyzstan,76,43.31,96,17.45,2022
PER,Peru,77,43.21,113,14.74,2022
OMN,Oman,78,42.65,32,50.38,2022
NPL,Nepal,79,39.73,112,14.96,2022
HRV,Croatia,80,39.54,14,76.61,2022
MEX,Mexico,81,38.77,80,22.26,2022
ARG,Argentina,82,38.47,84,20.07,2022
BHS,Bahamas,83,37.69,,,2022
UZB,Uzbekistan,84,36.85,115,13.85,2022
JAM,Jamaica,85,36.45,55,32.88,2022
EGY,Egypt,86,35.67,88,19.34,2022
BRN,Brunei,87,35.26,17,76.02,2022
ARM,Armenia,88,34.26,69,26.23,2022
ECU,Ecuador,89,33.96,87,19.51,2022
KAZ,Kazakstan,90,33.76,91,18,2022
ALB,Albania,91,33.5,48,35.62,2022
GRC,Greece,92,33.41,25,55.49,2022
BLZ,Belize,93,31.81,,,2022
BGD,Bangladesh,94,31.52,130,9.81,2022
CIV,Cote d'Ivoire,95,31.42,131,9.62,2022
GUY,Guyana,96,31.01,,,2022
ZAF,South Africa,97,29.6,54,33.26,2022
CYP,Cyprus,98,29.48,13,76.66,2022
NIC,Nicaragua,99,29.04,101,16.56,2022
LAO,Laos,100,28.11,76,23.47,2022
GHA,Ghana,101,27.16,134,7.33,2022
MKD,Macedonia,102,26.77,22,61.96,2022
TUR,Turkey,103,26.34,58,32.28,2022
HND,Honduras,104,25.98,86,19.65,2022
KNA,Saint Kitts & Nevis,105,25.16,,,2022
MDG,Madagascar,106,25.16,,,2022
BOL,Bolivia,107,24.19,105,15.97,2022
BIH,Bosnia and Herzegovina,108,22.56,70,26.18,2022
SYC,Seychelles,109,22.13,,,2022
GTM,Guatemala,110,21.56,93,17.82,2022
SLV,El Salvador,111,21.11,81,21.91,2022
LKA,Sri Lanka,112,20.94,114,13.96,2022
IRQ,Iraq,113,20.64,47,36.12,2022
SEN,Senegal,114,20.36,104,15.98,2022
IDN,Indonesia,115,20.2,103,16.36,2022
GEO,Georgia,116,20.18,61,29.71,2022
MUS,Mauritius,117,19.88,83,20.59,2022
BFA,Burkina Faso,118,19.71,124,11.52,2022
KHM,Cambodia,119,19.36,99,16.82,2022
LSO,Lesotho,120,18.92,,,2022
MLI,Mali,121,17.71,,,2022
AZE,Azerbaijan,122,17.4,60,30.96,2022
ATG,Antigua and Barbuda,123,17.36,,,2022
TJK,Tajikistan,124,16.96,135,6.43,2022
TGO,Togo,125,16.46,,,2022
CPV,Cape Verde,126,16.37,,,2022
DOM,Dominican Republic,127,15.52,97,17.21,2022
MMR,Myanmar,128,15.2,68,26.29,2022
HTI,Haiti,129,14.89,129,10.02,2022
PSE,"Palestinian Territory, Occupied",130,14.3,137,5.72,2022
GAB,Gabon,131,13.41,,,2022
MAR,Morocco,132,12.78,66,26.86,2022
FJI,Fiji,133,12.27,79,22.75,2022
AGO,Angola,134,11.97,72,25.43,2022
COG,Congo,135,11.84,,,2022
LBY,Libya,136,11,128,10.35,2022
MDV,Maldives,137,10.97,37,46.87,2022
SUR,Suriname,138,10.79,,,2022
BEN,Benin,139,10.77,,,2022
ESH,Western Sahara,140,10.51,,,2022
IRN,Iran,141,10.39,77,23.1,2022
NGA,Nigeria,142,10.06,90,18.33,2022
FSM,Micronesia,143,9.75,,,2022
DZA,Algeria,144,9.72,125,11.31,2022
UGA,Uganda,145,9.57,111,15.02,2022
RWA,Rwanda,146,9.52,,,2022
LBR,Liberia,147,9.48,,,2022
TZA,Tanzania,148,9.45,127,10.44,2022
MHL,Marshall Islands,149,9.29,,,2022
PNG,Papua New Guinea,150,9.25,,,2022
PAK,Pakistan,151,9.12,102,16.56,2022
CMR,Cameroon,152,9.04,117,13.07,2022
KEN,Kenya,153,8.91,107,15.81,2022
SLE,Sierra Leone,154,8.57,,,2022
BTN,Bhutan,155,8.52,,,2022
NAM,Namibia,156,8.29,85,20.04,2022
GMB,Gambia,157,7.84,,,2022
TUN,Tunisia,158,7.64,82,21.78,2022
LBN,Lebanon,159,7.27,94,17.72,2022
BWA,Botswana,160,7.22,73,24.79,2022
VEN,Venezuela,161,7.15,136,5.99,2022
SOM,Somalia,162,6.78,132,7.98,2022
MOZ,Mozambique,163,6.23,120,12.52,2022
MRT,Mauritania,164,6.1,,,2022
MWI,Malawi,165,5.54,,,2022
BDI,Burundi,166,5.44,,,2022
ZWE,Zimbabwe,167,5.21,123,12.02,2022
SWZ,Swaziland,168,4.94,,,2022
DJI,Djibouti,169,4.71,,,2022
ZMB,Zambia,170,4.6,121,12.46,2022
NER,Niger,171,3.85,,,2022
GIN,Guinea,172,3.79,,,2022
SDN,Sudan,173,3.28,133,7.83,2022
SYR,Syria,174,2.87,122,12.24,2022
YEM,Yemen,175,2.74,140,0.53,2022
ETH,Ethiopia,176,2.69,78,22.83,2022
CUB,Cuba,177,1.9,119,12.71,2022
TKM,Turkmenistan,178,1.89,139,3.09,2022
AFG,Afghanistan,179,1.62,138,5.1,2022