Country,Year,Linguistic Diversity Index
Afghanistan,2010,0.741
Albania,2010,0.577
Algeria,2010,0.317
American Samoa,2010,0.116
Andorra,2010,0.574
Angola,2010,0.813
Anguilla,2010,0.141
Antigua and Barbuda,2010,0.248
Argentina,2010,0.233
Armenia,2010,0.159
Aruba,2010,0.387
Australia,2010,0.124
Austria,2010,0.535
Azerbaijan,2010,0.455
"Bahamas, The",2010,0.386
Bahrain,2010,0.663
Bangladesh,2010,0.387
Barbados,2010,0.091
Belarus,2010,0.397
Belgium,2010,0.747
Belize,2010,0.769
Benin,2010,0.921
Bermuda,2010,0.081
Bhutan,2010,0.884
Bolivia,2010,0.681
Bosnia and Herzegovina,2010,0.659
Botswana,2010,0.512
Brazil,2010,0.103
British Indian Ocean Territory,2010,0
British Virgin Islands,2010,0.167
Brunei,2010,0.585
Bulgaria,2010,0.263
Burkina Faso,2010,0.773
Burma,2010,0.535
Burundi,2010,0.004
Cambodia,2010,0.169
Cameroon,2010,0.946
Canada,2010,0.599
Cape Verde,2010,0.07
Cayman Islands,2010,0.547
Central African Republic,2010,0.959
Chad,2010,0.944
Chile,2010,0.035
China,2010,0.509
Colombia,2010,0.034
Comoros,2010,0.545
"Congo, Democratic Republic of the",2010,0.948
"Congo, Republic of the",2010,0.836
Cook Islands,2010,0.602
Costa Rica,2010,0.05
Côte d'Ivoire,2010,0.917
Croatia,2010,0.211
Cuba,2010,0.001
Cyprus,2010,0.331
Czech Republic,2010,0.146
Denmark,2010,0.055
Djibouti,2010,0.571
Dominica,2010,0.313
Dominican Republic,2010,0.053
Ecuador,2010,0.267
Egypt,2010,0.536
El Salvador,2010,0.004
Equatorial Guinea,2010,0.417
Eritrea,2010,0.627
Estonia,2010,0.454
Ethiopia,2010,0.864
Falkland Islands (Islas Malvinas),2010,0
Fiji,2010,0.608
Finland,2010,0.148
France,2010,0.267
French Guiana,2010,0.45
French Polynesia,2010,0.596
Gabon,2010,0.762
"Gambia, The",2010,0.78
Georgia,2010,0.582
Germany,2010,0.369
Ghana,2010,0.805
Gibraltar,2010,0.498
Greece,2010,0.137
Greenland,2010,0.242
Grenada,2010,0.064
Guadeloupe,2010,0.084
Guam,2010,0.655
Guatemala,2010,0.69
Guinea,2010,0.754
Guinea-Bissau,2010,0.871
Guyana,2010,0.08
Haiti,2010,0
Holy See (Vatican City),2010,0
Honduras,2010,0.056
Hungary,2010,0.018
India,2010,0.94
Indonesia,2010,0.816
Iran,2010,0.822
Iraq,2010,0.674
Ireland,2010,0.165
Israel,2010,0.665
Italy,2010,0.586
Jamaica,2010,0.011
Japan,2010,0.028
Jordan,2010,0.496
Kazakhstan,2010,0.699
Kenya,2010,0.877
Kiribati,2010,0.033
"Korea, North",2010,0
"Korea, South",2010,0.003
Kuwait,2010,0.556
Kyrgyzstan,2010,0.67
Laos,2010,0.674
Latvia,2010,0.584
Lebanon,2010,0.161
Lesotho,2010,0.26
Liberia,2010,0.916
Libya,2010,0.5
Liechtenstein,2010,0.128
Lithuania,2010,0.341
Luxembourg,2010,0.489
Macedonia [FYROM],2010,0.578
Madagascar,2010,0.721
Malawi,2010,0.525
Malaysia,2010,0.747
Maldives,2010,0.008
Mali,2010,0.874
Malta,2010,0.412
Martinique,2010,0.043
Mauritania,2010,0.183
Mauritius,2010,0.587
Mayotte,2010,0.459
Mexico,2010,0.137
"Micronesia, Federated States of",2010,0.772
Moldova,2010,0.59
Monaco,2010,0.521
Mongolia,2010,0.332
Montenegro,2010,0.567
Montserrat,2010,0.026
Morocco,2010,0.466
Mozambique,2010,0.932
Namibia,2010,0.81
Nauru,2010,0.596
Nepal,2010,0.737
Netherlands,2010,0.291
Netherlands Antilles,2010,0.281
New Caledonia,2010,0.834
New Zealand,2010,0.107
Nicaragua,2010,0.081
Niger,2010,0.64
Nigeria,2010,0.869
Niue,2010,0.071
Norfolk Island,2010,0.311
Northern Mariana Islands,2010,0.642
Norway,2010,0.072
Oman,2010,0.693
Pakistan,2010,0.762
Palau,2010,0.078
Palestinian territories,2010,0.208
Panama,2010,0.324
Papua New Guinea,2010,0.99
Paraguay,2010,0.352
Peru,2010,0.388
Philippines,2010,0.855
Poland,2010,0.064
Portugal,2010,0.022
Puerto Rico,2010,0.058
Qatar,2010,0.608
Réunion,2010,0.066
Romania,2010,0.169
Russia,2010,0.331
Rwanda,2010,0.004
Saint Helena,2010,0
Saint Kitts and Nevis,2010,0.01
Saint Lucia,2010,0.02
Saint Pierre and Miquelon,2010,0.134
Saint Vincent and the Grenadines,2010,0.009
Samoa,2010,0.002
San Marino,2010,0.494
Sao Tome and Principe,2010,0.39
Saudi Arabia,2010,0.613
Senegal,2010,0.775
Serbia,2010,0.626
Seychelles,2010,0.067
Sierra Leone,2010,0.822
Singapore,2010,0.773
Slovakia,2010,0.237
Slovenia,2010,0.174
Solomon Islands,2010,0.967
Somalia,2010,0.349
South Africa,2010,0.874
Spain,2010,0.509
Sri Lanka,2010,0.319
Sudan,2010,0.543
Suriname,2010,0.788
Swaziland,2010,0.21
Sweden,2010,0.145
Switzerland,2010,0.577
Syria,2010,0.527
Taiwan,2010,0.488
Tajikistan,2010,0.485
Tanzania,2010,0.947
Thailand,2010,0.74
Timor-Leste,2010,0.897
Togo,2010,0.897
Tokelau,2010,0.054
Tonga,2010,0.014
Trinidad and Tobago,2010,0.696
Tunisia,2010,0.012
Turkey,2010,0.3
Turkmenistan,2010,0.386
Turks and Caicos Islands,2010,0.146
Tuvalu,2010,0.139
Uganda,2010,0.928
Ukraine,2010,0.495
United Arab Emirates,2010,0.777
United Kingdom,2010,0.133
United States,2010,0.319
United States Virgin Islands,2010,0.354
Uruguay,2010,0.092
Uzbekistan,2010,0.427
Vanuatu,2010,0.974
Venezuela,2010,0.051
Vietnam,2010,0.242
Wallis and Futuna,2010,0.407
Yemen,2010,0.579
Zambia,2010,0.878
Zimbabwe,2010,0.518