country_code,country_iso,country_fri_pes,country_ldi,country_temp,country_precip
ABW,Aruba,Aruba,Aruba,,Aruba
AFG,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan
AGO,Angola,Angola,Angola,Angola,Angola
AIA,Anguilla,Anguilla,Anguilla,,
ALA,Åland Islands,,,,
ALB,Albania,Albania,Albania,Albania,Albania
AND,Andorra,Andorra,Andorra,Andorra,Andorra
ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates
ARG,Argentina,Argentina,Argentina,Argentina,Argentina
ARM,Armenia,Armenia,Armenia,Armenia,Armenia
ASM,American Samoa,American Samoa,American Samoa,,American Samoa
ATA,Antarctica,,,,
ATF,French Southern and Antarctic Territories,,,,
ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda
AUS,Australia,Australia,Australia,Australia,Australia
AUT,Austria,Austria,Austria,Austria,Austria
AZE,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan
BDI,Burundi,Burundi,Burundi,Burundi,Burundi
BEL,Belgium,Belgium,Belgium,Belgium,Belgium
BEN,Benin,Benin,Benin,Benin,Benin
BES,"Bonaire, Sint Eustatius and Saba",,,,
BFA,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
BGD,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
BGR,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria
BHR,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain
BHS,Bahamas,Bahamas,"Bahamas, The",Bahamas,Bahamas
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
BLM,Saint Barthélemy,,,,
BLR,Belarus,Belarus,Belarus,Belarus,Belarus
BLZ,Belize,Belize,Belize,Belize,Belize
BMU,Bermuda,Bermuda,Bermuda,,Bermuda
BOL,Bolivia (Plurinational State of),Bolivia,Bolivia,Bolivia,Bolivia
BRA,Brazil,Brazil,Brazil,Brazil,Brazil
BRB,Barbados,Barbados,Barbados,Barbados,Barbados
BRN,Brunei Darussalam,Brunei,Brunei,Brunei,Brunei
BTN,Bhutan,Bhutan,Bhutan,Bhutan,Bhutan
BVT,Bouvet Island,,,,
BWA,Botswana,Botswana,Botswana,Botswana,Botswana
CAF,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic
CAN,Canada,Canada,Canada,Canada,Canada
CCK,Cocos (Keeling) Islands,,,,
CHE,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
CHL,Chile,Chile,Chile,Chile,Chile
CHN,China,China,China,China,China
CH_,"China, mainland",,,,
CIV,Côte d'Ivoire,Cote d'Ivoire,Côte d'Ivoire,Ivory Coast,Ivory Coast
CMR,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon
COD,Democratic Republic of the Congo,"Congo, Dem. Rep.","Congo, Democratic Republic of the",Democratic Republic of the Congo,DR Congo
COG,Congo,"Congo, Rep.","Congo, Republic of the",Republic of the Congo,Congo
COK,Cook Islands,Cook Islands,Cook Islands,,
COL,Colombia,Colombia,Colombia,Colombia,Colombia
COM,Comoros,,Comoros,Comoros,Comoros
CPV,Cabo Verde,Cabo Verde,Cape Verde,Cape Verde,Cape Verde
CRI,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica
CUB,Cuba,Cuba,Cuba,Cuba,Cuba
CUW,Curaçao,,,,Curaçao
CXR,Christmas Island,,,,
CYM,Cayman Islands,Cayman Islands,Cayman Islands,,Cayman Islands
CYP,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus
CZE,Czechia,Czech Republic,Czech Republic,Czech Republic,Czech Republic
DEU,Germany,Germany,Germany,Germany,Germany
DJI,Djibouti,,Djibouti,Djibouti,Djibouti
DMA,Dominica,,Dominica,Dominica,Dominica
DNK,Denmark,Denmark,Denmark,Denmark,Denmark
DOM,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic
DZA,Algeria,Algeria,Algeria,Algeria,Algeria
ECU,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador
EGY,Egypt,Egypt,Egypt,Egypt,Egypt
ERI,Eritrea,Eritrea,Eritrea,Eritrea,Eritrea
ESH,Western Sahara,,,,
ESP,Spain,Spain,Spain,Spain,Spain
EST,Estonia,Estonia,Estonia,Estonia,Estonia
ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia
FIN,Finland,Finland,Finland,Finland,Finland
FJI,Fiji,Fiji,Fiji,Fiji,Fiji
FLK,Falkland Islands (Malvinas),,Falkland Islands (Islas Malvinas),,
FRA,France,France,France,France,France
FRO,Faroe Islands,,,,Faroe Islands
FSM,Micronesia (Federated States of),Federated States of Micronesia,"Micronesia, Federated States of",Federated States of Micronesia,Micronesia
GAB,Gabon,Gabon,Gabon,Gabon,Gabon
GBR,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom
GEO,Georgia,Georgia,Georgia,Georgia,Georgia
GGY,Guernsey,,,,
GHA,Ghana,Ghana,Ghana,Ghana,Ghana
GIB,Gibraltar,Gibraltar,Gibraltar,,Gibraltar
GIN,Guinea,Guinea,Guinea,Guinea,Guinea
GLP,Guadeloupe,,Guadeloupe,,
GMB,Gambia,The Gambia,"Gambia, The",Gambia,Gambia
GNB,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau
GNQ,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
GRC,Greece,Greece,Greece,Greece,Greece
GRD,Grenada,Grenada,Grenada,Grenada,Grenada[a]
GRL,Greenland,,Greenland,,Greenland
GTM,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala
GUF,French Guiana,,French Guiana,,
GUM,Guam,Guam,Guam,,Guam
GUY,Guyana,Guyana,Guyana,Guyana,Guyana
HKG,"China, Hong Kong SAR",Hong Kong,,Hong Kong,Hong Kong
HMD,Heard and McDonald Islands,,,,
HND,Honduras,Honduras,Honduras,Honduras,Honduras
HRV,Croatia,Croatia,Croatia,Croatia,Croatia
HTI,Haiti,Haiti,Haiti,Haiti,Haiti
HUN,Hungary,Hungary,Hungary,Hungary,Hungary
IDN,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia
IMN,Isle of Man,Isle of Man,,,Isle of Man
IND,India,India,India,India,India
IOT,British Indian Ocean Territory,,British Indian Ocean Territory,,
IRL,Ireland,Ireland,Ireland,Ireland,Ireland
IRN,Iran (Islamic Republic of),"Iran, Islamic Rep.",Iran,Iran,Iran
IRQ,Iraq,Iraq,Iraq,Iraq,Iraq
ISL,Iceland,Iceland,,Iceland,Iceland
ISR,Israel,Israel,Israel,Israel,Israel
ITA,Italy,Italy,Italy,Italy,Italy
JAM,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica
JEY,Jersey,,,,
JOR,Jordan,Jordan,Jordan,Jordan,Jordan
JPN,Japan,Japan,Japan,Japan,Japan
KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
KEN,Kenya,Kenya,Kenya,Kenya,Kenya
KGZ,Kyrgyzstan,Kyrgyz Republic,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan
KHM,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia
KIR,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis
KOR,Republic of Korea,South Korea,"Korea, South",South Korea,South Korea
KWT,Kuwait,Kuwait,Kuwait,Kuwait,Kuwait
LAO,Lao People's Democratic Republic,Lao PDR,Laos,Laos,Laos
LBN,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon
LBR,Liberia,Liberia,Liberia,Liberia,Liberia
LBY,Libya,Libya,Libya,Libya,Libya
LCA,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia
LIE,Liechtenstein,,Liechtenstein,Liechtenstein,Liechtenstein
LKA,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
LSO,Lesotho,Lesotho,Lesotho,Lesotho,Lesotho
LTU,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania
LUX,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
LVA,Latvia,Latvia,Latvia,Latvia,Latvia
MAC,"China, Macao SAR",,,,Macau
MAF,Saint-Martin (French Part),,,,Saint Martin
MAR,Morocco,Morocco,Morocco,Morocco,Morocco
MCO,Monaco,,Monaco,Monaco,Monaco
MDA,Republic of Moldova,Moldova,Moldova,Moldova,Moldova
MDG,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar
MDV,Maldives,,Maldives,Maldives,Maldives
MEX,Mexico,Mexico,Mexico,Mexico,Mexico
MHL,Marshall Islands,Marshall Islands,,Marshall Islands,Marshall Islands
MKD,North Macedonia,Macedonia,Macedonia [FYROM],North Macedonia,North Macedonia
MLI,Mali,Mali,Mali,Mali,Mali
MLT,Malta,Malta,Malta,Malta,Malta
MMR,Myanmar,Myanmar,Burma,Myanmar,Myanmar
MNE,Montenegro,,Montenegro,Montenegro,Montenegro
MNG,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia
MNP,Northern Mariana Islands,Northern Mariana Islands,Northern Mariana Islands,,Northern Mariana Islands
MOZ,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique
MRT,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania
MSR,Montserrat,Montserrat,Montserrat,,
MTQ,Martinique,,Martinique,,
MUS,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius
MWI,Malawi,Malawi,Malawi,Malawi,Malawi
MYS,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia
MYT,Mayotte,,Mayotte,,
NAM,Namibia,Namibia,Namibia,Namibia,Namibia
NCL,New Caledonia,,New Caledonia,,New Caledonia
NER,Niger,Niger,Niger,Niger,Niger
NFK,Norfolk Island,,Norfolk Island,,
NGA,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria
NIC,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Nicaragua
NIU,Niue,,Niue,,
NLD,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
NOR,Norway,Norway,Norway,Norway,Norway
NPL,Nepal,Nepal,Nepal,Nepal,Nepal
NRU,Nauru,Nauru,Nauru,,Nauru
NZL,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand
OMN,Oman,Oman,Oman,Oman,Oman
PAK,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan
PAN,Panama,Panama,Panama,Panama,Panama
PCN,Pitcairn Islands,,,,
PER,Peru,Peru,Peru,Peru,Peru
PHL,Philippines,Philippines,Philippines,Philippines,Philippines
PLW,Palau,Palau,Palau,Palau,Palau
PNG,Papua New Guinea,Papua New Guinea,Papua New Guinea,Papua New Guinea,Papua New Guinea
POL,Poland,Poland,Poland,Poland,Poland
PRI,Puerto Rico,Puerto Rico,Puerto Rico,,Puerto Rico
PRK,Democratic People's Republic of Korea,North Korea,"Korea, North",North Korea,North Korea
PRT,Portugal,Portugal,Portugal,Portugal,Portugal
PRY,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay
PSE,Palestine,,Palestinian territories,,Palestine[b]
PYF,French Polynesia,,French Polynesia,,French Polynesia
QAT,Qatar,Qatar,Qatar,Qatar,Qatar
REU,Réunion,,Réunion,,
ROU,Romania,Romania,Romania,Romania,Romania
RUS,Russian Federation,Russia,Russia,Russia,Russia
RWA,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda
SAU,Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia
SDN,Sudan,Sudan,Sudan,Sudan,Sudan
SEN,Senegal,Senegal,Senegal,Senegal,Senegal
SGP,Singapore,Singapore,Singapore,Singapore,Singapore
SGS,South Georgia and the South Sandwich Islands,,,,
SHN,"Saint Helena, Ascension and Tristan da Cunha",,Saint Helena,,
SJM,Svalbard and Jan Mayen Islands,,,,
SLB,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands
SLE,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone
SLV,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador
SMR,San Marino,,San Marino,San Marino,San Marino
SOM,Somalia,Somalia,Somalia,Somalia,Somalia
SPM,Saint Pierre and Miquelon,,Saint Pierre and Miquelon,,
SRB,Serbia,Serbia,Serbia,Serbia,Serbia
SSD,South Sudan,South Sudan,,,South Sudan
STP,Sao Tome and Principe,,Sao Tome and Principe,São Tomé and Príncipe,São Tomé and Príncipe
SUR,Suriname,Suriname,Suriname,Suriname,Suriname
SVK,Slovakia,Slovakia,Slovakia,Slovakia,Slovakia
SVN,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia
SWE,Sweden,Sweden,Sweden,Sweden,Sweden
SWZ,Eswatini,Swaziland,Swaziland,Eswatini,Eswatini
SXM,Sint Maarten (Dutch Part),,,,Sint Maarten
SYC,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles
SYR,Syrian Arab Republic,Syrian Arab Republic,Syria,Syria,Syria
TCA,Turks and Caicos Islands,,Turks and Caicos Islands,,Turks and Caicos Islands
TCD,Chad,Chad,Chad,Chad,Chad
TGO,Togo,Togo,Togo,Togo,Togo
THA,Thailand,Thailand,Thailand,Thailand,Thailand
TJK,Tajikistan,Tajikistan,Tajikistan,Tajikistan,Tajikistan
TKL,Tokelau,,Tokelau,,
TKM,Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan
TLS,Timor-Leste,Timor-Leste,Timor-Leste,Timor-Leste,East Timor
TON,Tonga,Tonga,Tonga,Tonga,Tonga
TTO,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago
TUN,Tunisia,Tunisia,Tunisia,Tunisia,Tunisia
TUR,Türkiye,Turkey,Turkey,Turkey,Turkey
TUV,Tuvalu,,Tuvalu,Tuvalu,Tuvalu
TWN,"China, Taiwan Province of","Taiwan, China",Taiwan,,
TZA,United Republic of Tanzania,Tanzania,Tanzania,Tanzania,Tanzania
UGA,Uganda,Uganda,Uganda,Uganda,Uganda
UKR,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine
UMI,US Minor Is.,,,,
URY,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay
USA,United States of America,United States,United States,United States,United States
UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan
VAT,Holy See,,Holy See (Vatican City),,
VCT,Saint Vincent and the Grenadines,Saint Vincent and Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
VEN,Venezuela (Bolivarian Republic of),Venezuela,Venezuela,Venezuela,Venezuela
VGB,British Virgin Islands,British Virgin Islands,British Virgin Islands,,British Virgin Islands
VIR,United States Virgin Islands,U.S. Virgin Islands,United States Virgin Islands,,U.S. Virgin Islands
VNM,Viet Nam,Vietnam,Vietnam,Vietnam,Vietnam
VUT,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu
WLF,Wallis and Futuna Islands,,Wallis and Futuna,,
WSM,Samoa,Samoa,Samoa,Samoa,Samoa
YEM,Yemen,Yemen,Yemen,Yemen,Yemen
ZAF,South Africa,South Africa,South Africa,South Africa,South Africa
ZMB,Zambia,Zambia,Zambia,Zambia,Zambia
ZWE,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe