iso_a3,name,year,big_mac_dollar_price
ARG,Argentina,2000,2.5
AUS,Australia,2000,1.541666667
BRA,Brazil,2000,1.648044693
CAN,Canada,2000,1.93877551
CHE,Switzerland,2000,3.470588235
CHL,Chile,2000,2.451361868
CHN,China,2000,1.195652174
CZE,Czech Republic,2000,1.390537084
DNK,Denmark,2000,3.078358209
EUZ,Euro area,2000,2.3808
GBR,Britain,2000,3.002000002
HKG,Hong Kong,2000,1.309370988
HUN,Hungary,2000,1.215053763
IDN,Indonesia,2000,1.825047199
ISR,Israel,2000,3.580246914
JPN,Japan,2000,2.773584906
KOR,South Korea,2000,2.707581227
MEX,Mexico,2000,2.221041445
MYS,Malaysia,2000,1.189473684
NZL,New Zealand,2000,1.691542289
POL,Poland,2000,1.279069767
RUS,Russia,2000,1.385964912
SGP,Singapore,2000,1.882352941
SWE,Sweden,2000,2.714932127
THA,Thailand,2000,1.447368421
TWN,Taiwan,2000,2.287581699
USA,United States,2000,2.51
ZAF,South Africa,2000,1.339285714
ARG,Argentina,2001,2.5
AUS,Australia,2001,1.515151515
BRA,Brazil,2001,1.643835616
CAN,Canada,2001,2.134615385
CHE,Switzerland,2001,3.641618497
CHL,Chile,2001,2.096505824
CHN,China,2001,1.195652174
CZE,Czech Republic,2001,1.435897436
DNK,Denmark,2001,2.925531915
EUZ,Euro area,2001,2.261600001
GBR,Britain,2001,2.845700001
HKG,Hong Kong,2001,1.371794872
HUN,Hungary,2001,1.316831683
IDN,Indonesia,2001,1.354214648
JPN,Japan,2001,2.370967742
KOR,South Korea,2001,2.264150943
MEX,Mexico,2001,2.35737352
MYS,Malaysia,2001,1.189473684
NZL,New Zealand,2001,1.457489879
PHL,Philippines,2001,1.172962227
POL,Poland,2001,1.464019851
RUS,Russia,2001,1.211072664
SGP,Singapore,2001,1.82320442
SWE,Sweden,2001,2.33463035
THA,Thailand,2001,1.208791209
TWN,Taiwan,2001,2.127659574
USA,United States,2001,2.54
ZAF,South Africa,2001,1.193111931
ARG,Argentina,2002,0.798722045
AUS,Australia,2002,1.612903226
BRA,Brazil,2002,1.538461538
CAN,Canada,2002,2.121019108
CHE,Switzerland,2002,3.795180723
CHL,Chile,2002,2.13740458
CHN,China,2002,1.268115942
CZE,Czech Republic,2002,1.655294118
DNK,Denmark,2002,2.953460621
EUZ,Euro area,2002,2.376299999
GBR,Britain,2002,2.885500002
HKG,Hong Kong,2002,1.4
HUN,Hungary,2002,1.6875
IDN,Indonesia,2002,1.696712619
ISR,Israel,2002,2.505219207
JPN,Japan,2002,2.015384615
KOR,South Korea,2002,2.377300613
MEX,Mexico,2002,2.359913793
MYS,Malaysia,2002,1.326315789
NOR,Norway,2002,4.088785047
NZL,New Zealand,2002,1.607142857
PER,Peru,2002,2.478134111
PHL,Philippines,2002,1.274509804
POL,Poland,2002,1.46039604
RUS,Russia,2002,1.25
SGP,Singapore,2002,1.813186813
SWE,Sweden,2002,2.5
THA,Thailand,2002,1.270207852
TUR,Turkey,2002,3.02000755
TWN,Taiwan,2002,2.011494253
USA,United States,2002,2.49
VEN,Venezuela,2002,2.917152859
ZAF,South Africa,2002,0.889908257
ARG,Argentina,2003,1.423611111
AUS,Australia,2003,1.863354037
BRA,Brazil,2003,1.482084691
CAN,Canada,2003,2.206896552
CHE,Switzerland,2003,4.598540146
CHL,Chile,2003,1.955307263
CHN,China,2003,1.195652174
CZE,Czech Republic,2003,1.957439446
DNK,Denmark,2003,4.092920354
EGY,Egypt,2003,1.351351351
EUZ,Euro area,2003,2.981
GBR,Britain,2003,3.144200002
HKG,Hong Kong,2003,1.474358974
HUN,Hungary,2003,2.1875
IDN,Indonesia,2003,1.842105263
JPN,Japan,2003,2.183333333
KOR,South Korea,2003,2.704918033
MEX,Mexico,2003,2.184235518
MYS,Malaysia,2003,1.326315789
NZL,New Zealand,2003,2.219101124
PER,Peru,2003,2.283236994
PHL,Philippines,2003,1.238095238
POL,Poland,2003,1.619537275
RUS,Russia,2003,1.318327974
SGP,Singapore,2003,1.853932584
SWE,Sweden,2003,3.597122302
THA,Thailand,2003,1.381733021
TUR,Turkey,2003,2.343017807
TWN,Taiwan,2003,2.011494253
USA,United States,2003,2.71
VEN,Venezuela,2003,2.315394243
ZAF,South Africa,2003,1.845238095
ARG,Argentina,2004,1.477966102
AUS,Australia,2004,2.272727273
BRA,Brazil,2004,1.698113208
CAN,Canada,2004,2.328467153
CHE,Switzerland,2004,4.88372093
CHL,Chile,2004,2.184087363
CHN,China,2004,1.256038647
COL,Colombia,2004,2.346714419
CRI,Costa Rica,2004,2.606389113
CZE,Czech Republic,2004,2.129056604
DNK,Denmark,2004,4.461414791
EGY,Egypt,2004,1.615508885
EUZ,Euro area,2004,3.288000001
GBR,Britain,2004,3.365199999
HKG,Hong Kong,2004,1.540436457
HUN,Hungary,2004,2.511848341
IDN,Indonesia,2004,1.765350877
JPN,Japan,2004,2.318584071
KOR,South Korea,2004,2.718776551
LKA,Sri Lanka,2004,1.414141414
MEX,Mexico,2004,2.068965517
MYS,Malaysia,2004,1.326315789
NOR,Norway,2004,5.183162751
NZL,New Zealand,2004,2.652439024
PAK,Pakistan,2004,1.904432133
PER,Peru,2004,2.575931232
PHL,Philippines,2004,1.234347048
POL,Poland,2004,1.627906977
RUS,Russia,2004,1.448275862
SAU,Saudi Arabia,2004,0.639965868
SGP,Singapore,2004,1.929824561
SWE,Sweden,2004,3.94218134
THA,Thailand,2004,1.446078431
TUR,Turkey,2004,2.580013063
TWN,Taiwan,2004,2.245508982
UKR,Ukraine,2004,1.359842446
URY,Uruguay,2004,1.002185976
USA,United States,2004,2.9
VEN,Venezuela,2004,1.477997985
ZAF,South Africa,2004,1.861861862
ARE,UAE,2005,2.450646698
ARG,Argentina,2005,1.639627201
AUS,Australia,2005,2.497118709
BRA,Brazil,2005,2.393703343
CAN,Canada,2005,2.625260125
CHE,Switzerland,2005,5.0501002
CHL,Chile,2005,2.531859229
CHN,China,2005,1.268667537
COL,Colombia,2005,2.792456073
CRI,Costa Rica,2005,2.377445824
CZE,Czech Republic,2005,2.299019188
DNK,Denmark,2005,4.575659142
EGY,Egypt,2005,1.551724138
EUZ,Euro area,2005,3.583131998
GBR,Britain,2005,3.440400003
HKG,Hong Kong,2005,1.542277687
HUN,Hungary,2005,2.602593755
IDN,Indonesia,2005,1.529596647
JPN,Japan,2005,2.342688469
KOR,South Korea,2005,2.486325211
LKA,Sri Lanka,2005,1.75096303
MEX,Mexico,2005,2.576489533
MYS,Malaysia,2005,1.381578947
NOR,Norway,2005,6.06286727
NZL,New Zealand,2005,3.173358055
PAK,Pakistan,2005,2.18047635
PER,Peru,2005,2.762244208
PHL,Philippines,2005,1.466544455
POL,Poland,2005,1.963983563
RUS,Russia,2005,1.478586893
SAU,Saudi Arabia,2005,2.399936002
SGP,Singapore,2005,2.167760583
SWE,Sweden,2005,4.166554663
THA,Thailand,2005,1.4803849
TUR,Turkey,2005,2.92184076
TWN,Taiwan,2005,2.405773857
UKR,Ukraine,2005,1.432806324
URY,Uruguay,2005,1.823834197
USA,United States,2005,3.06
VEN,Venezuela,2005,2.129585263
ZAF,South Africa,2005,2.098312325
ARG,Argentina,2006,1.550362295
AUS,Australia,2006,2.442140066
BRA,Brazil,2006,2.741543224
CAN,Canada,2006,3.007518797
CHE,Switzerland,2006,4.931120852
CHL,Chile,2006,2.984218077
CHN,China,2006,1.302067187
CZE,Czech Republic,2006,2.600943891
DNK,Denmark,2006,4.492544804
EGY,Egypt,2006,1.611498258
EUZ,Euro area,2006,3.513825
GBR,Britain,2006,3.316131998
HKG,Hong Kong,2006,1.548147384
HUN,Hungary,2006,2.705889175
IDN,Indonesia,2006,1.543340381
JPN,Japan,2006,2.187130922
KOR,South Korea,2006,2.557675584
MEX,Mexico,2006,2.655916528
MYS,Malaysia,2006,1.46713615
NZL,New Zealand,2006,3.075965992
PER,Peru,2006,2.756819501
PHL,Philippines,2006,1.559528338
POL,Poland,2006,2.086610382
RUS,Russia,2006,1.604464597
SGP,Singapore,2006,2.20143093
SWE,Sweden,2006,4.279101129
THA,Thailand,2006,1.50924412
TUR,Turkey,2006,3.067714179
TWN,Taiwan,2006,2.347454577
USA,United States,2006,3.15
VEN,Venezuela,2006,2.255420655
ZAF,South Africa,2006,2.294294689
ARE,UAE,2006,2.450579971
ARG,Argentina,2006,2.290201211
AUS,Australia,2006,2.438969479
BRA,Brazil,2006,2.777175092
CAN,Canada,2006,3.141594895
CHE,Switzerland,2006,5.21156471
CHL,Chile,2006,2.943673932
CHN,China,2006,1.308248193
COL,Colombia,2006,2.596261384
CRI,Costa Rica,2006,2.217708303
CZE,Czech Republic,2006,2.671002994
DNK,Denmark,2006,4.769475358
EGY,Egypt,2006,1.646233159
EUZ,Euro area,2006,3.766916497
GBR,Britain,2006,3.647976002
HKG,Hong Kong,2006,1.547728064
HUN,Hungary,2006,2.713909367
IDN,Indonesia,2006,1.565683646
JPN,Japan,2006,2.230052183
KOR,South Korea,2006,2.624947501
LKA,Sri Lanka,2006,1.845466466
MEX,Mexico,2006,2.565667826
MYS,Malaysia,2006,1.515360242
NOR,Norway,2006,7.046523442
NZL,New Zealand,2006,2.745202065
PAK,Pakistan,2006,2.164682374
PER,Peru,2006,2.913216805
PHL,Philippines,2006,1.6152019
POL,Poland,2006,2.097349273
RUS,Russia,2006,1.773590134
SAU,Saudi Arabia,2006,2.400640171
SGP,Singapore,2006,2.268002268
SWE,Sweden,2006,4.530135698
THA,Thailand,2006,1.560671089
TUR,Turkey,2006,2.724618878
TWN,Taiwan,2006,2.333468156
UKR,Ukraine,2006,1.683168317
URY,Uruguay,2006,1.767189133
USA,United States,2006,3.1
VEN,Venezuela,2006,2.262777923
ZAF,South Africa,2006,2.114597544
ARE,UAE,2007,2.722866634
ARG,Argentina,2007,2.670983408
AUS,Australia,2007,2.723257806
BRA,Brazil,2007,2.999765643
CAN,Canada,2007,3.089756139
CHE,Switzerland,2007,5.046055266
CHL,Chile,2007,3.091733778
CHN,China,2007,1.414918385
COL,Colombia,2007,3.081285655
CRI,Costa Rica,2007,2.217708303
CZE,Czech Republic,2007,2.423126205
DNK,Denmark,2007,4.823528389
EGY,Egypt,2007,1.594736842
EUZ,Euro area,2007,3.809210998
GBR,Britain,2007,3.833731
HKG,Hong Kong,2007,1.538767319
HUN,Hungary,2007,3.034609464
IDN,Indonesia,2007,1.749174917
JPN,Japan,2007,2.302915656
KOR,South Korea,2007,3.084614157
LKA,Sri Lanka,2007,1.845466466
MEX,Mexico,2007,2.663140302
MYS,Malaysia,2007,1.570531125
NOR,Norway,2007,6.800714485
NZL,New Zealand,2007,3.22137875
PAK,Pakistan,2007,2.331196403
PER,Peru,2007,2.97852328
PHL,Philippines,2007,1.732925586
POL,Poland,2007,2.321864221
RUS,Russia,2007,1.846722068
SAU,Saudi Arabia,2007,2.400640171
SGP,Singapore,2007,2.340778309
SWE,Sweden,2007,4.544647612
THA,Thailand,2007,1.756373938
TUR,Turkey,2007,3.22752261
TWN,Taiwan,2007,2.277869736
UKR,Ukraine,2007,1.782178218
URY,Uruguay,2007,2.298850575
USA,United States,2007,3.22
VEN,Venezuela,2007,1.648373758
ZAF,South Africa,2007,2.180104786
ARE,UAE,2007,2.722681297
ARG,Argentina,2007,2.668607472
AUS,Australia,2007,2.948717949
BRA,Brazil,2007,3.606900157
CAN,Canada,2007,3.683136361
CHE,Switzerland,2007,5.201453104
CHL,Chile,2007,2.971048885
CHN,China,2007,1.446473891
COL,Colombia,2007,3.527607362
CRI,Costa Rica,2007,2.178838274
CZE,Czech Republic,2007,2.505120343
DNK,Denmark,2007,5.082138344
EGY,Egypt,2007,1.676551997
EUZ,Euro area,2007,4.166889949
GBR,Britain,2007,4.007163503
HKG,Hong Kong,2007,1.53540058
HUN,Hungary,2007,3.329437891
IDN,Indonesia,2007,1.763727121
JPN,Japan,2007,2.289171402
KOR,South Korea,2007,3.143631436
LKA,Sri Lanka,2007,1.885098743
MEX,Mexico,2007,2.693277487
MYS,Malaysia,2007,1.601397583
NOR,Norway,2007,6.880063297
NZL,New Zealand,2007,3.594592483
PAK,Pakistan,2007,2.319032632
PER,Peru,2007,2.999684244
PHL,Philippines,2007,1.851952721
POL,Poland,2007,2.50740411
RUS,Russia,2007,2.027428772
SAU,Saudi Arabia,2007,2.399712035
SGP,Singapore,2007,2.592288761
SWE,Sweden,2007,4.858907629
THA,Thailand,2007,1.799448556
TUR,Turkey,2007,3.659194207
TWN,Taiwan,2007,2.28864375
UKR,Ukraine,2007,1.839880656
URY,Uruguay,2007,2.58926707
USA,United States,2007,3.41
VEN,Venezuela,2007,3.446188236
ZAF,South Africa,2007,2.223497346
ARE,UAE,2008,2.722681297
ARG,Argentina,2008,3.64298725
AUS,Australia,2008,3.362573099
BRA,Brazil,2008,4.733055661
CAN,Canada,2008,4.075531862
CHE,Switzerland,2008,6.35914494
CHL,Chile,2008,3.133528758
CHN,China,2008,1.829089845
COL,Colombia,2008,3.891807745
CRI,Costa Rica,2008,3.266669086
CZE,Czech Republic,2008,4.55788577
DNK,Denmark,2008,5.951874841
EGY,Egypt,2008,2.447058824
EUZ,Euro area,2008,5.342704588
GBR,Britain,2008,4.570496503
HKG,Hong Kong,2008,1.705696771
HUN,Hungary,2008,4.644462899
IDN,Indonesia,2008,2.043269231
JPN,Japan,2008,2.620373403
KOR,South Korea,2008,3.143264083
LKA,Sri Lanka,2008,1.952580195
MEX,Mexico,2008,3.146973497
MYS,Malaysia,2008,1.69857937
NOR,Norway,2008,7.875333471
NZL,New Zealand,2008,3.718600592
PAK,Pakistan,2008,1.97461213
PER,Peru,2008,3.345070423
PHL,Philippines,2008,1.95571541
POL,Poland,2008,3.445814566
RUS,Russia,2008,2.539425659
SAU,Saudi Arabia,2008,2.666986705
SGP,Singapore,2008,2.919977823
SWE,Sweden,2008,6.37492975
THA,Thailand,2008,1.858513189
TUR,Turkey,2008,4.317753092
TWN,Taiwan,2008,2.470152326
UKR,Ukraine,2008,2.391304348
URY,Uruguay,2008,3.18537859
USA,United States,2008,3.57
ZAF,South Africa,2008,2.241100056
ARE,UAE,2009,2.722570106
ARG,Argentina,2009,3.017382748
AUS,Australia,2009,3.372445411
BRA,Brazil,2009,4.020830204
CAN,Canada,2009,3.350992807
CHE,Switzerland,2009,5.984991483
CHL,Chile,2009,3.190228785
CHN,China,2009,1.82943785
COL,Colombia,2009,3.340332124
CRI,Costa Rica,2009,3.433063838
CZE,Czech Republic,2009,3.63956906
DNK,Denmark,2009,5.526932084
EGY,Egypt,2009,2.327767581
EUZ,Euro area,2009,4.617118998
GBR,Britain,2009,3.688274001
HKG,Hong Kong,2009,1.716018321
HUN,Hungary,2009,3.615225522
IDN,Indonesia,2009,2.049019608
ISR,Israel,2009,3.774297037
JPN,Japan,2009,3.457030195
KOR,South Korea,2009,2.586534804
LKA,Sri Lanka,2009,1.828312729
MEX,Mexico,2009,2.389503563
MYS,Malaysia,2009,1.879511383
NOR,Norway,2009,6.145101202
NZL,New Zealand,2009,3.077212924
PAK,Pakistan,2009,2.300242131
PER,Peru,2009,2.661029266
PHL,Philippines,2009,2.054149013
POL,Poland,2009,2.408683939
RUS,Russia,2009,2.042938294
SAU,Saudi Arabia,2009,2.933020478
SGP,Singapore,2009,2.881529532
SWE,Sweden,2009,4.930997642
THA,Thailand,2009,1.887604273
TUR,Turkey,2009,3.645043708
TWN,Taiwan,2009,2.260704436
UKR,Ukraine,2009,1.82767624
URY,Uruguay,2009,2.632714717
USA,United States,2009,3.57
ZAF,South Africa,2009,2.167743494
ARE,UAE,2010,2.994827117
ARG,Argentina,2010,1.842832697
AUS,Australia,2010,3.977870239
BRA,Brazil,2010,4.75831254
CAN,Canada,2010,3.973765432
CHE,Switzerland,2010,6.303641565
CHL,Chile,2010,3.18028225
CHN,China,2010,1.830911648
COL,Colombia,2010,3.912960489
CRI,Costa Rica,2010,3.518890434
CZE,Czech Republic,2010,3.714432415
DNK,Denmark,2010,5.99385891
EGY,Egypt,2010,2.378774016
EUZ,Euro area,2010,4.843943997
GBR,Britain,2010,3.671328
HKG,Hong Kong,2010,1.908064797
HUN,Hungary,2010,3.857470742
IDN,Indonesia,2010,2.24248927
ISR,Israel,2010,3.991962492
JPN,Japan,2010,3.495739567
KOR,South Korea,2010,2.981148619
LKA,Sri Lanka,2010,1.828312729
MEX,Mexico,2010,2.497317335
MYS,Malaysia,2010,2.081180812
NOR,Norway,2010,7.023026749
NZL,New Zealand,2010,3.611305598
PAK,Pakistan,2010,2.421307506
PER,Peru,2010,2.806479707
PHL,Philippines,2010,2.210801394
POL,Poland,2010,2.85648793
RUS,Russia,2010,2.339024961
SAU,Saudi Arabia,2010,2.666524452
SGP,Singapore,2010,3.188706961
SWE,Sweden,2010,5.506841191
THA,Thailand,2010,2.11256979
TUR,Turkey,2010,3.831677461
TWN,Taiwan,2010,2.355342702
UKR,Ukraine,2010,1.82767624
URY,Uruguay,2010,3.32326284
USA,United States,2010,3.58
ZAF,South Africa,2010,2.457389281
ARE,UAE,2010,2.994949426
ARG,Argentina,2010,3.558945027
AUS,Australia,2010,3.8369175
BRA,Brazil,2010,4.907180484
CAN,Canada,2010,4.000575622
CHE,Switzerland,2010,6.185468906
CHL,Chile,2010,3.34192686
CHN,China,2010,1.947793239
COL,Colombia,2010,4.388664401
CRI,Costa Rica,2010,3.830573724
CZE,Czech Republic,2010,3.425226357
DNK,Denmark,2010,4.902255898
EGY,Egypt,2010,2.281101948
EUZ,Euro area,2010,4.332523827
GBR,Britain,2010,3.483548
HKG,Hong Kong,2010,1.90373286
HUN,Hungary,2010,3.333796611
IDN,Indonesia,2010,2.513516496
ISR,Israel,2010,3.858204511
JPN,Japan,2010,3.670566644
KOR,South Korea,2010,2.822865208
LKA,Sri Lanka,2010,1.86211483
MEX,Mexico,2010,2.503520576
MYS,Malaysia,2010,2.193869613
NOR,Norway,2010,7.204322594
NZL,New Zealand,2010,3.59
PAK,Pakistan,2010,2.455422391
PER,Peru,2010,3.536693192
PHL,Philippines,2010,2.194964493
POL,Poland,2010,2.596265132
RUS,Russia,2010,2.332208289
SAU,Saudi Arabia,2010,2.666346705
SGP,Singapore,2010,3.078154563
SWE,Sweden,2010,6.564002414
THA,Thailand,2010,2.166847237
TUR,Turkey,2010,3.890668933
TWN,Taiwan,2010,2.336048341
UKR,Ukraine,2010,1.835675402
URY,Uruguay,2010,3.744075829
USA,United States,2010,3.733333333
ZAF,South Africa,2010,2.448085982
ARE,UAE,2011,3.267039654
ARG,Argentina,2011,4.83968542
AUS,Australia,2011,4.943724001
BRA,Brazil,2011,6.162428646
