"country","gendEqal2021","econ","education","health","polit"
"Iceland","0.8920","0.8460","0.9990","0.9640","0.7600"
"Finland","0.8610","0.8060","1","0.9700","0.6690"
"Norway","0.8490","0.7920","1","0.9640","0.6400"
"New Zealand","0.8400","0.7630","1","0.9660","0.6300"
"Sweden","0.8230","0.8100","0.9960","0.9620","0.5220"
"Namibia","0.8090","0.7940","1","0.9800","0.4630"
"Rwanda","0.8050","0.7260","0.9570","0.9740","0.5630"
"Lithuania","0.8040","0.8080","0.9980","0.9800","0.4290"
"Ireland","0.8000","0.7330","0.9980","0.9640","0.5040"
"Switzerland","0.7980","0.7430","0.9920","0.9640","0.4940"
"Germany","0.7960","0.7060","0.9970","0.9720","0.5090"
"Nicaragua","0.7960","0.5980","1","0.9780","0.6060"
"Belgium","0.7890","0.7090","1","0.9680","0.4800"
"Spain","0.7880","0.6990","0.9980","0.9650","0.4910"
"Costa Rica","0.7860","0.6240","1","0.9730","0.5450"
"Philippines","0.7840","0.7950","0.9990","0.9790","0.3620"
"France","0.7840","0.7100","1","0.9700","0.4570"
"South Africa","0.7810","0.6580","0.9940","0.9790","0.4930"
"Serbia","0.7800","0.7160","0.9980","0.9690","0.4370"
"Latvia","0.7780","0.8220","1","0.9760","0.3130"
"Austria","0.7770","0.6650","1","0.9700","0.4730"
"United Kingdom","0.7750","0.7160","0.9990","0.9660","0.4190"
"Portugal","0.7750","0.7460","0.9920","0.9720","0.3900"
"Canada","0.7720","0.7410","1","0.9680","0.3810"
"Albania","0.7700","0.7480","0.9990","0.9560","0.3770"
"Burundi","0.7690","0.8550","0.8960","0.9790","0.3450"
"Barbados","0.7690","0.8370","0.9910","0.9680","0.2780"
"Denmark","0.7680","0.7360","1","0.9640","0.3710"
"Moldova","0.7680","0.8110","0.9960","0.9800","0.2860"
"United States","0.7630","0.7540","1","0.9700","0.3290"
"Netherlands","0.7620","0.7130","1","0.9620","0.3750"
"Mozambique","0.7580","0.6550","0.9040","0.9800","0.4940"
"Belarus","0.7580","0.8400","0.9990","0.9770","0.2160"
"Mexico","0.7570","0.5900","0.9970","0.9750","0.4680"
"Argentina","0.7520","0.6390","1","0.9770","0.3900"
"Laos","0.7500","0.9150","0.9650","0.9750","0.1460"
"Trinidad And Tobago","0.7490","0.7030","0.9940","0.9800","0.3190"
"Cuba","0.7460","0.6300","0.9980","0.9730","0.3820"
"Bulgaria","0.7460","0.7380","0.9910","0.9790","0.2750"
"Jamaica","0.7410","0.7680","1","0.9680","0.2300"
"Slovenia","0.7410","0.8030","1","0.9770","0.1840"
"Ecuador","0.7390","0.6750","0.9970","0.9680","0.3180"
"El Salvador","0.7380","0.6340","0.9920","0.9800","0.3470"
"Panama","0.7370","0.7310","0.9940","0.9730","0.2520"
"Croatia","0.7330","0.6660","0.9950","0.9780","0.2940"
"Estonia","0.7330","0.7540","1","0.9750","0.2010"
"Zimbabwe","0.7320","0.7630","0.9770","0.9800","0.2100"
"Georgia","0.7320","0.7050","1","0.9770","0.2450"
"Montenegro","0.7320","0.7480","0.9980","0.9700","0.2120"
"Australia","0.7310","0.7000","1","0.9680","0.2580"
"Eswatini","0.7290","0.7970","0.9920","0.9800","0.1470"
"Suriname","0.7290","0.7030","0.9930","0.9690","0.2520"
"Guyana","0.7280","0.6380","0.9840","0.9800","0.3100"
"Singapore","0.7270","0.7490","0.9900","0.9630","0.2080"
"Zambia","0.7260","0.8040","0.9380","0.9800","0.1800"
"Luxembourg","0.7260","0.6910","1","0.9650","0.2470"
"Colombia","0.7250","0.7080","1","0.9750","0.2160"
"Madagascar","0.7250","0.7540","0.9820","0.9650","0.2000"
"Bahamas","0.7250","0.8570","1","0.9800","0.0640"
"Israel","0.7240","0.7050","1","0.9640","0.2270"
"Bolivia","0.7220","0.5950","0.9810","0.9620","0.3520"
"Italy","0.7210","0.6090","0.9970","0.9650","0.3130"
"Peru","0.7210","0.6290","0.9810","0.9640","0.3100"
"Bangladesh","0.7190","0.4180","0.9510","0.9620","0.5460"
"Uganda","0.7170","0.6920","0.8980","0.9800","0.2960"
"Chile","0.7160","0.6100","1","0.9700","0.2830"
"Honduras","0.7160","0.7210","1","0.9640","0.1790"
"United Arab Emirates","0.7160","0.5100","0.9870","0.9630","0.4030"
"Mongolia","0.7160","0.7690","0.9930","0.9800","0.1220"
"Botswana","0.7160","0.7990","1","0.9800","0.0840"
"Cape Verde","0.7160","0.7610","0.9720","0.9800","0.1520"
"North Macedonia","0.7150","0.6470","0.9770","0.9700","0.2670"
"Ukraine","0.7140","0.7320","1","0.9780","0.1470"
"Poland","0.7130","0.7050","0.9960","0.9800","0.1710"
"Bosnia And Herzegovina","0.7130","0.6080","0.9670","0.9740","0.3020"
"Slovakia","0.7120","0.6820","1","0.9800","0.1840"
"Czech Republic","0.7110","0.6620","1","0.9780","0.2030"
"Thailand","0.7100","0.7870","0.9920","0.9780","0.0840"
"Kazakhstan","0.7100","0.7280","0.9950","0.9750","0.1410"
"Russia","0.7080","0.7670","1","0.9800","0.0850"
"Tanzania","0.7070","0.7030","0.9210","0.9700","0.2350"
"Cyprus","0.7070","0.6940","0.9980","0.9600","0.1770"
"Malta","0.7030","0.6560","1","0.9650","0.1920"
"Paraguay","0.7020","0.6720","0.9980","0.9740","0.1640"
"Uruguay","0.7020","0.6900","1","0.9800","0.1400"
"Vietnam","0.7010","0.7650","0.9820","0.9450","0.1130"
"Romania","0.7000","0.7230","0.9970","0.9800","0.1000"
"Venezuela","0.6990","0.6170","0.9980","0.9800","0.1990"
"Dominican Republic","0.6990","0.6460","1","0.9800","0.1720"
"Belize","0.6990","0.7490","0.9910","0.9800","0.0750"
"Lesotho","0.6980","0.6470","1","0.9800","0.1650"
"Brazil","0.6950","0.6650","1","0.9800","0.1380"
"Liberia","0.6930","0.7170","0.8390","0.9620","0.2550"
"Kenya","0.6920","0.6720","0.9290","0.9750","0.1930"
"Cameroon","0.6920","0.7060","0.8850","0.9730","0.2020"
"Ethiopia","0.6910","0.5600","0.8500","0.9710","0.3820"
"Greece","0.6890","0.6720","0.9940","0.9660","0.1230"
"Indonesia","0.6880","0.6470","0.9700","0.9710","0.1640"
"Azerbaijan","0.6880","0.7480","0.9960","0.9390","0.0690"
"Hungary","0.6880","0.6690","0.9930","0.9800","0.1120"
"South Korea","0.6870","0.5860","0.9730","0.9760","0.2140"
"Senegal","0.6840","0.5540","0.8880","0.9670","0.3270"
"Cambodia","0.6840","0.7290","0.9190","0.9780","0.1110"
"Nepal","0.6830","0.6300","0.8950","0.9650","0.2410"
"Togo","0.6830","0.7870","0.7820","0.9790","0.1850"
"China","0.6820","0.7010","0.9730","0.9350","0.1180"
"Myanmar","0.6810","0.6570","0.9750","0.9800","0.1130"
"Kyrgyzstan","0.6810","0.6460","0.9900","0.9800","0.1080"
"Mauritius","0.6790","0.6000","0.9920","0.9800","0.1440"
"Brunei","0.6780","0.7220","0.9920","0.9650","0.0310"
"Malaysia","0.6760","0.6380","0.9940","0.9720","0.1020"
"Fiji","0.6740","0.5680","0.9970","0.9720","0.1600"
"Armenia","0.6730","0.6550","0.9980","0.9500","0.0910"
"Malawi","0.6710","0.6240","0.9150","0.9800","0.1640"
"Sri Lanka","0.6700","0.5470","0.9880","0.9800","0.1670"
"Ghana","0.6660","0.5980","0.9510","0.9780","0.1350"
"Guinea","0.6600","0.8390","0.6800","0.9660","0.1570"
"Angola","0.6570","0.6460","0.7590","0.9760","0.2450"
"Japan","0.6560","0.6040","0.9830","0.9730","0.0610"
"Guatemala","0.6550","0.5600","0.9690","0.9790","0.1120"
"Sierra Leone","0.6550","0.7130","0.8600","0.9660","0.0830"
"Benin","0.6530","0.8140","0.7330","0.9730","0.0930"
"Burkina Faso","0.6510","0.6890","0.8730","0.9780","0.0660"
"Tajikistan","0.6500","0.5740","0.9420","0.9690","0.1120"
"Tunisia","0.6490","0.4450","0.9700","0.9690","0.2120"
"Gambia","0.6440","0.6070","0.8910","0.9680","0.1120"
"Maldives","0.6420","0.4910","1","0.9550","0.1210"
"Egypt","0.6390","0.4210","0.9730","0.9680","0.1960"
"Bhutan","0.6390","0.5560","0.9540","0.9630","0.0820"
"Turkey","0.6380","0.4860","0.9750","0.9670","0.1230"
"Jordan","0.6380","0.5380","0.9910","0.9570","0.0660"
"Lebanon","0.6380","0.4870","0.9640","0.9700","0.1290"
"Ivory Coast","0.6370","0.6640","0.8280","0.9790","0.0760"
"Papua New Guinea","0.6350","0.6840","0.8950","0.9590","0"
"Algeria","0.6330","0.4560","0.9660","0.9580","0.1510"
"Bahrain","0.6320","0.5180","0.9850","0.9590","0.0660"
"Niger","0.6290","0.6730","0.7260","0.9640","0.1550"
"Nigeria","0.6270","0.6870","0.8060","0.9670","0.0470"
"India","0.6250","0.3260","0.9620","0.9370","0.2760"
"Vanuatu","0.6250","0.5760","0.9470","0.9750","0"
"Qatar","0.6240","0.5040","0.9900","0.9480","0.0530"
"Kuwait","0.6210","0.4980","0.9970","0.9680","0.0220"
"Morocco","0.6120","0.4070","0.9560","0.9610","0.1260"
"Oman","0.6080","0.4530","0.9770","0.9610","0.0410"
"Mauritania","0.6060","0.4400","0.8790","0.9570","0.1470"
"Saudi Arabia","0.6030","0.3900","0.9800","0.9640","0.0770"
"Chad","0.5930","0.6930","0.5890","0.9700","0.1180"
"Mali","0.5910","0.4750","0.7570","0.9590","0.1720"
"Iran","0.5820","0.3750","0.9530","0.9630","0.0360"
"DR Congo","0.5760","0.5710","0.6580","0.9760","0.0990"
"Syria","0.5680","0.2850","0.9530","0.9650","0.0670"
"Pakistan","0.5560","0.3160","0.8110","0.9440","0.1540"
"Iraq","0.5350","0.2280","0.8070","0.9680","0.1360"
"Yemen","0.4920","0.2820","0.7170","0.9680","0.0010"
"Afghanistan","0.4440","0.1800","0.5140","0.9520","0.1320"