"country","humanFreedom","hfRank","persFreedom","econFreedom","quartile"
"Switzerland","9.1100","1","9.5600","8.4800","1"
"New Zealand","9.0100","2","9.3300","8.5600","1"
"Denmark","8.9800","3","9.5600","8.1700","1"
"Estonia","8.9100","4","9.4800","8.1100","1"
"Ireland","8.9000","5","9.4000","8.2100","1"
"Canada","8.8500","6","9.4000","8.0600","1"
"Finland","8.8500","6","9.5200","7.9200","1"
"Australia","8.8400","8","9.3000","8.2000","1"
"Sweden","8.8300","9","9.6300","7.7200","1"
"Luxembourg","8.8000","10","9.4800","7.8400","1"
"Netherlands","8.7800","11","9.3600","7.8600","1"
"Iceland","8.7700","12","9.4000","7.9000","1"
"Norway","8.7600","13","9.5000","7.7200","1"
"United Kingdom","8.7500","14","9.1900","8.1500","1"
"United States","8.7300","15","9.0900","8.2400","1"
"Japan","8.7300","15","9.2600","7.9800","1"
"Germany","8.7300","15","9.3200","7.9100","1"
"Portugal","8.6900","18","9.3300","7.7900","1"
"Taiwan","8.6800","19","9.1400","9.0200","1"
"Lithuania","8.6800","19","9.0100","8.2100","1"
"Austria","8.6700","21","9.2500","7.8600","1"
"Latvia","8.6700","21","9.1800","7.9400","1"
"Belgium","8.6100","23","9.3100","7.6200","1"
"Czech Republic","8.6100","23","9.1400","7.8700","1"
"Spain","8.5600","25","9.0400","7.8900","1"
"Italy","8.4900","26","9.1200","7.6100","1"
"Malta","8.4500","27","8.7500","8.0300","1"
"Chile","8.4400","28","8.8600","7.8500","1"
"Cyprus","8.4200","29","8.8000","7.8900","1"
"Hong Kong","8.4100","30","8.0600","8.9100","1"
"South Korea","8.3900","31","8.9400","7.6100","1"
"Slovenia","8.3700","32","9.0400","7.4300","1"
"Uruguay","8.3600","33","9.0800","7.3600","1"
"France","8.3400","34","8.9100","7.5500","1"
"Romania","8.3300","35","8.6500","7.8800","1"
"Costa Rica","8.2500","37","8.6600","7.6800","1"
"Bahamas","8.2200","38","8.6900","7.5600","1"
"Slovakia","8.2100","39","8.6300","7.6100","1"
"Georgia","8.2000","40","8.1500","8.2600","1"
"Armenia","8.2000","40","8.3200","8.0300","1"
"Croatia","8.1600","42","8.7300","7.3600","2"
"Albania","8.1400","43","8.3800","7.8100","2"
"Panama","8.1200","44","8.3500","7.7900","2"
"Bulgaria","8.0800","45","8.3000","7.7600","2"
"Mauritius","8.0700","46","8.0100","8.1600","2"
"Mongolia","8","47","8.4500","7.3800","2"
"Singapore","7.9800","48","7.3900","8.8100","2"
"Poland","7.9600","49","8.5000","7.2000","2"
"Peru","7.9300","50","8.0300","7.7800","2"
"Barbados","7.9200","51","8.6500","6.9100","2"
"Jamaica","7.9100","52","8.0600","7.7100","2"
"Botswana","7.9000","53","8.1000","7.6200","2"
"Dominican Republic","7.8800","54","8.0900","7.5800","2"
"Montenegro","7.8800","54","8.0500","7.6400","2"
"Greece","7.8600","56","8.3700","7.1500","2"
"Seychelles","7.8400","57","7.9900","7.6300","2"
"North Macedonia","7.7500","58","8.1800","7.1300","2"
"Hungary","7.7300","59","7.8800","7.5300","2"
"Trinidad And Tobago","7.7000","60","8.0100","7.2700","2"
"Moldova","7.6800","61","7.9500","7.3000","2"
"Israel","7.6600","62","7.6900","7.6300","2"
"Suriname","7.6400","63","8.6300","6.1400","2"
"Belize","7.6400","63","8.3100","6.7000","2"
"Guatemala","7.6300","65","7.5100","7.8000","2"
"Namibia","7.5600","66","8.1200","6.7600","2"
"Serbia","7.5400","67","7.7700","7.2200","2"
"Paraguay","7.5400","67","7.7800","7.2200","2"
"Bosnia And Herzegovina","7.5400","67","8.0300","6.8600","2"
"Ghana","7.4900","70","8.0700","6.6900","2"
"Guyana","7.4900","70","8.0600","6.5200","2"
"Ecuador","7.4300","72","7.9600","6.6800","2"
"El Salvador","7.3900","73","7.3900","7.3900","2"
"Argentina","7.3800","74","8.7300","5.5000","2"
"Fiji","7.3600","75","7.9000","6.5400","2"
"Benin","7.3200","76","7.8300","6.6200","2"
"South Africa","7.3000","77","7.5300","6.9700","2"
"Brazil","7.2200","78","7.6400","6.6300","2"
"Timor-Leste","7.2200","78","7.9700","6.1900","2"
"Haiti","7.2100","80","7.7100","6.5100","2"
"Kyrgyzstan","7.1800","81","7.1800","7.1700","2"
"Malaysia","7.1700","82","6.9200","7.5200","3"
"Papua New Guinea","7.1700","82","7.7200","6.2300","3"
"Nepal","7.1200","84","7.4100","6.7100","3"
"Indonesia","7.1000","85","6.9800","7.2600","3"
"Honduras","7.0900","86","6.9700","7.2600","3"
"Senegal","7.0700","87","7.6600","6.2500","3"
"Madagascar","7.0200","88","7.5100","6.3300","3"
"Colombia","7.0100","89","7.1400","6.8200","3"
"Lesotho","7.0100","89","7.3200","6.5700","3"
"Malawi","6.9900","91","7.7200","5.9600","3"
"Bolivia","6.9400","92","7.4100","6.2800","3"
"Mexico","6.9200","93","6.7200","7.2000","3"
"Jordan","6.9100","94","6.4200","7.5900","3"
"Ivory Coast","6.9000","95","7.4200","6.1800","3"
"Thailand","6.8900","96","6.9000","6.8700","3"
"Gambia","6.8800","97","6.7700","7.0400","3"
"Ukraine","6.8600","98","7.3300","6.2000","3"
"Bhutan","6.8600","98","6.9000","6.8200","3"
"Burkina Faso","6.8500","100","7.4400","6.0400","3"
"Philippines","6.8300","101","6.4200","7.4200","3"
"Zambia","6.8200","102","6.6200","7.0900","3"
"Liberia","6.8100","103","7.1400","6.3500","3"
"Mozambique","6.8000","104","7.2700","6.1500","3"
"Gabon","6.8000","104","7.5100","5.8000","3"
"Kazakhstan","6.7700","106","6.2400","7.5200","3"
"Lebanon","6.7600","108","6.7600","6.7600","3"
"Kenya","6.7300","109","6.5900","6.9400","3"
"Belarus","6.7300","109","6.6200","6.8800","3"
"Sierra Leone","6.7000","111","7.1200","6.1500","3"
"Sri Lanka","6.5800","112","6.4400","6.7800","3"
"Togo","6.5000","113","6.6000","6.3500","3"
"Tanzania","6.4800","114","6.2900","6.7500","3"
"Cambodia","6.4700","115","5.9400","7.2200","3"
"Tunisia","6.4600","116","6.8200","5.9700","3"
"Brunei","6.4600","116","5.8700","7.3000","3"
"Niger","6.4100","118","6.7800","5.9700","3"
"India","6.3900","119","6.2000","6.6600","3"
"Rwanda","6.3600","120","5.6500","7.3500","3"
"Kuwait","6.3400","121","6.0700","6.7200","3"
"Uganda","6.3200","122","5.5400","7.4200","3"
"Nigeria","6.2800","123","5.7900","6.9700","3"
"Mali","6.2500","124","6.5500","5.8300","4"
"Nicaragua","6.2400","125","5.6700","7.0400","4"
"Russia","6.2300","126","5.9000","6.7000","4"
"Azerbaijan","6.1600","127","5.9600","6.4400","4"
"Qatar","6.1500","128","5.4800","7.0900","4"
"Angola","6.0900","129","6.5000","5.5000","4"
"Comoros","6.0700","130","5.7300","6.5500","4"
"United Arab Emirates","6.0600","131","5.2000","7.2800","4"
"Ethiopia","5.9500","132","6","5.8700","4"
"Oman","5.9200","133","5.3600","6.6900","4"
"Vietnam","5.9000","134","5.6300","6.2600","4"
"Morocco","5.9000","134","5.3300","6.6900","4"
"Laos","5.8500","136","5.3000","6.6000","4"
"Djibouti","5.8400","137","5.2400","6.6800","4"
"Guinea","5.8200","138","5.9600","5.6200","4"
"Turkey","5.7900","139","5.2500","6.5400","4"
"Eswatini","5.7900","139","5.6000","6.0500","4"
"Myanmar","5.7800","141","5.7200","5.9400","4"
"Bangladesh","5.7500","142","5.5200","6.0500","4"
"Mauritania","5.7300","143","5.1800","6.4900","4"
"Bahrain","5.7300","143","4.5900","7.3300","4"
"Pakistan","5.6300","145","5.4100","5.9500","4"
"Cameroon","5.6300","145","5.4700","5.8600","4"
"DR Congo","5.6200","147","5.8100","5.3600","4"
"Central African Republic","5.6200","147","5.8100","5.3600","4"
"Zimbabwe","5.6000","149","6.0700","4.9400","4"
"China","5.5700","150","4.8700","6.5300","4"
"Chad","5.5700","150","5.5400","5.6000","4"
"Republic of the Congo","5.5500","152","5.8800","5.0800","4"
"Tajikistan","5.5200","153","4.8300","6.5000","4"
"Algeria","5.2600","154","5.5100","4.9000","4"
"Saudi Arabia","5.1200","155","3.8900","6.8500","4"
"Libya","5.0500","156","5.1700","4.7900","4"
"Iraq","5.0200","157","4.4900","5.7400","4"
"Burundi","5.0200","157","4.5700","5.6500","4"
"Somalia","4.9300","159","3.6800","6.6700","4"
"Iran","4.5300","160","4.1400","5.0600","4"
"Egypt","4.4900","161","3.6300","5.6800","4"
"Sudan","4.4800","162","4.7400","4.1900","4"
"Yemen","4.0800","163","3.1100","5.4500","4"
"Venezuela","4.0300","164","4.9000","2.8300","4"
"Syria","3.6600","165","2.6000","5.1900","4"